id,title,category,media_type,format,publisher,date,source_url,asset_url,http_status,content_type,size_bytes,authenticity,graphic,presentation_use,rights_and_handling,notes,last_checked
IMG-004,BBC image of Darshan's arrest in Mysuru,B-publisher editorial media,image,JPEG,BBC News,22-06-2024,https://www.bbc.com/news/articles/cqvvx9z4xedo,https://ichef.bbci.co.uk/news/1024/cpsprodpb/615c/live/3f830910-2f86-11ef-8f5e-cfd8745d0c76.jpg,200,image/jpeg,,BBC 1024-pixel editorial rendition; not original camera file,no,Arrest-timeline slide,Copyright BBC/credited photographer; link or license before redistribution,Use the source-page caption rather than inventing one,27-08-2026
IMG-005,BBC image of investigators near the Sumanahalli drain,B-publisher editorial media,image,JPEG,BBC News,22-06-2024,https://www.bbc.com/news/articles/cqvvx9z4xedo,https://ichef.bbci.co.uk/news/1024/cpsprodpb/2492/live/bb9b6af0-2f87-11ef-954e-611aa2c305a8.jpg,200,image/jpeg,,BBC editorial photograph of investigation location; not a forensic scene photograph,no,Location/investigation slide,Copyright BBC/credited photographer; link or license before redistribution,Non-graphic; do not infer facts beyond the caption,27-08-2026
IMG-006,BBC image of Pavitra Gowda,B-publisher editorial media,image,JPEG,BBC News,22-06-2024,https://www.bbc.com/news/articles/cqvvx9z4xedo,https://ichef.bbci.co.uk/news/1024/cpsprodpb/a5a4/live/6251e580-2f9d-11ef-9552-ddad3d31dcba.jpg,200,image/jpeg,,BBC 1024-pixel editorial rendition; not original camera file,no,Accused-overview slide with presumption-of-innocence label,Copyright BBC/credited photographer; link or license before redistribution,Use neutral wording: accused A1,27-08-2026
IMG-007,BBC profile image of Darshan,B-publisher editorial media,image,JPEG,BBC News,22-06-2024,https://www.bbc.com/news/articles/cqvvx9z4xedo,https://ichef.bbci.co.uk/news/1024/cpsprodpb/e34b/live/447bf700-2f87-11ef-954e-611aa2c305a8.jpg,200,image/jpeg,,BBC 1024-pixel editorial rendition; not original camera file,no,Optional profile/context slide; not evidence,Copyright BBC/credited photographer; link or license before redistribution,Avoid using a film-role image to imply guilt,27-08-2026
IMG-008,Darshan escorted after a court appearance,B-publisher editorial media,image,JPEG,The Hindu,03-11-2025,https://www.thehindu.com/news/national/karnataka/actor-darshan-pavithra-gowda-and-15-others-charged-for-renukaswamy-murder-trial-likely-from-november-10/article70236076.ece,https://th-i.thgim.com/public/incoming/matuwz/article70236409.ece/alternates/LANDSCAPE_1200/Darshan_03.jpg,200,image/jpeg,82222,Publisher video-grab/editorial image; not trial evidence,no,Charge-framing and trial-status slide,Copyright The Hindu; link or license before redistribution,Credit exactly as on source page,27-08-2026
IMG-009,Darshan file photograph accompanying Supreme Court bail-cancellation coverage,B-publisher editorial media,image,JPEG,The Indian Express,14-08-2025,https://indianexpress.com/article/cities/bangalore/day-before-song-release-movie-darshan-go-back-jail-supreme-court-cancels-bail-10188570/,https://images.indianexpress.com/2025/07/Darshan_a1a935.jpg,200,image/jpeg,80860,Publisher editorial file photograph,no,Supreme Court/bail timeline slide,Copyright The Indian Express; link or license before redistribution,Not evidence of the alleged crime,27-08-2026
IMG-010,Renukaswamy's parents meeting Karnataka Chief Minister Siddaramaiah,B-publisher editorial media,image,JPEG,The Hindu,25-06-2024,https://www.thehindu.com/news/national/karnataka/renukaswamys-parents-meet-karnataka-cm-seeks-job-to-victims-wife/article68331083.ece,https://th-i.thgim.com/public/news/national/qxk4zn/article68331125.ece/alternates/LANDSCAPE_1200/WhatsApp%20Image%202024-06-25%20at%202.05.10%20PM.jpeg,200,image/jpeg,87150,Publisher editorial image supplied as a special arrangement,no,Victim/family-impact slide with restrained caption,Copyright The Hindu/source provider; link or license before redistribution,Do not use to sensationalize grief,27-08-2026
IMG-011,Darshan custody photograph with non-graphic Renukaswamy inset,B-publisher editorial media,image,JPEG,The New Indian Express,16-10-2024,https://www.newindianexpress.com/states/karnataka/2024/Oct/16/renukaswamy-murder-case-grieving-family-blessed-with-baby-boy-amid-actor-darshans-bail-plea,https://cf-images.assettype.com/newindianexpress%2F2024-06%2F9548d166-4613-4b73-bd43-fa7fc7c3e4ad%2FActor_Darshan.jpg?rect=0%2C20%2C1200%2C630&w=1200&ar=40%3A21&auto=format%2Ccompress&ogImage=true&mode=crop&enlarge=true&overlay=false&overlay_position=bottom&overlay_width=100,200,image/jpeg,93875,Publisher composite/editorial rendition; not trial evidence,no,Optional victim-identification/context slide,Copyright The New Indian Express; link or license before redistribution,Does not depict the child discussed in the article,27-08-2026
SRC-001,Viral prison photograph and special-treatment report,B-publisher editorial media,source page,HTML,The Week,26-08-2024,https://www.theweek.in/news/entertainment/2024/08/26/renukaswamy-murder-heads-roll-after-public-uproar-over-darshan-thoogudeepa-cosy-prison-image-leaks-online.html,,200,text/html,,Publisher report containing a viral image; origin and chain of custody not authenticated,no,Source-only; use a screenshot only with permission and clear viral-image label,Copyright The Week/original creator; no direct asset copied,"Relevant to prison administration and later Supreme Court concerns, not proof of murder",27-08-2026
SRC-002,Protest coverage after Darshan's arrest,B-publisher editorial media,licensed source page,HTML,Reuters,11-06-2024,https://www.reuters.com/world/india/fans-protest-indian-movie-stars-shock-arrest-over-bengaluru-murder-2024-06-11/,,401,text/html,,Licensed editorial coverage; direct access restricted in this environment,no,Use only if your organization has a Reuters licence,Reuters copyright/licensing required,Not case evidence; public-reaction context only,27-08-2026
SRC-003,Leaked photographs alleged to depict Renukaswamy after assault,E-excluded graphic leaked material,source page only,HTML,NDTV / IANS,05-09-2024,https://www.ndtv.com/india-news/in-murder-case-against-actor-darshan-photos-of-assault-on-victim-surface-6495168,,200 via text fetch,text/html,,Unauthenticated leaked media; Karnataka Police issued no official confirmation in cited report,yes,"Do not embed, download, or show in presentation","Victim dignity, privacy, graphic-content, authenticity and copyright concerns",Catalogued only to document that the report exists,27-08-2026
NPA-001,Police CCTV master exports and complete camera sequences,D-reported but nonpublic trial evidence,nonpublic evidence,native CCTV export,Police/court custody,,,,not public,,,Unavailable; media clips are not substitutes,unknown,Not available for presentation unless lawfully released by court,Seek access through authorized counsel/court process,"Includes original metadata, full time range and chain-of-custody records",27-08-2026
NPA-002,"Original seized-phone images, videos and forensic extraction",D-reported but nonpublic trial evidence,nonpublic evidence,forensic mobile extraction,Police/FSL/court custody,,,,not public,,,Unavailable,likely graphic/private,Do not seek through leaks,Contains private communications and potentially graphic material,Only a lawful court copy can establish integrity and provenance,27-08-2026
NPA-003,"FSL/CFSL DNA, serology, soil and electronic-forensics reports",D-reported but nonpublic trial evidence,nonpublic evidence,laboratory reports and annexures,FSL/CFSL/court custody,,,,not public,,,Unavailable,no,Summarize only from judicial records; do not claim to possess reports,Seek certified copies through authorized legal process,Results are described at bail stage but reports were not publicly obtained,27-08-2026
NPA-004,Post-mortem report and autopsy photographs,D-reported but nonpublic trial evidence,nonpublic evidence,medical report/images,Hospital/police/court custody,,,,not public,,,Report unavailable; images excluded,yes,Use only the clinical cause-of-death wording reproduced in court/news records,Do not obtain or circulate leaked autopsy photographs,A certified report may be restricted to parties or court-authorized access,27-08-2026
NPA-005,"Full CDRs, tower locations, Instagram and WhatsApp extraction",D-reported but nonpublic trial evidence,nonpublic evidence,telecom/platform records,Police/court custody,,,,not public,,,Unavailable,private,Use court summaries only,"Do not expose telephone numbers, account identifiers or private messages",Requires lawful process and authentication certificates,27-08-2026
NPA-006,"Witness statements, depositions and marked trial exhibits",D-reported but nonpublic trial evidence,nonpublic evidence,court/police records,Trial court custody,,,,not public as a complete set,,,Partial descriptions only in public orders,may contain private data,Do not publish identities or details beyond public judicial records,Seek certified copies/inspection through authorized court procedure,"Latest order confirms P1-P13, MO1-MO8 and D1-D22 but not their full contents",27-08-2026
NPA-007,"Main 3,991-page charge sheet and two supplementary charge sheets",D-reported but nonpublic trial evidence,nonpublic evidence,charge sheet volumes,Police/trial court custody,2024-09,,,not publicly verified as a complete authentic set,,,Unavailable as an authenticated complete public copy,may contain graphic/private data,Do not use leaked scans as authoritative,Seek certified copy through authorized counsel/court process,Public reporting and judgments summarize portions only,27-08-2026
SRC-004,A14 Pradosh Rao allowed to turn approver,B-publisher editorial media,source page,HTML,PTI via ThePrint,25-08-2026,https://theprint.in/india/court-allows-co-accused-to-turn-approver-in-renukaswamy-murder-case/3024902/,,200,text/html,,Secondary agency report; underlying court order not publicly obtained,no,Procedural timeline only; identify A14 as an approver subject to the reported conditions,Copyright PTI/ThePrint; link and cite rather than reproduce,Also reports the 13 August 2026 High Court dismissal of A2's procedural challenge,27-08-2026
SRC-005,Bengaluru court allows accused no. 14 to turn approver,B-publisher editorial media,source page,HTML,The Times of India,25-08-2026,https://timesofindia.indiatimes.com/city/bengaluru/darshan-case-bengaluru-court-allows-accused-no-14-to-turn-approver/articleshow/133517047.cms,,200,text/html,,Secondary publisher report; underlying court order not publicly obtained,no,Corroborating procedural source only; not a guilt finding,Copyright The Times of India; link and cite rather than reproduce,Reports that Pradosh would be treated as a prosecution witness subject to truthful disclosure,27-08-2026
GEO-001,Pattanagere locality map reference,F-public geodata reference,geocoder result,JSON,OpenStreetMap contributors / Nominatim,27-08-2026,https://nominatim.openstreetmap.org/search?q=Pattanagere%2C%20Rajarajeshwari%20Nagar%2C%20Bengaluru%2C%20Karnataka&format=jsonv2&limit=5,,200,application/json,,Public geocoder result for a road named Pattanagere; not an incident-scene coordinate,no,Map the publicly identified locality only with an approximate-location warning,OpenStreetMap data under ODbL 1.0; attribute contributors,"Locality reference 12.9160908,77.5141119; do not present as the shed or exact alleged crime scene",27-08-2026
